file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/ollie/assignment1/251-Assignment1-2026-Shuairan-Trisha/./src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main$Anonymous1,anonymous,0,0,0,0,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,1,1,0,1,1,0,0,0,5,-1,0
/Users/ollie/assignment1/251-Assignment1-2026-Shuairan-Trisha/./src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,class,5,6,1,5,24,6,0,67,8,0.77500004,0.0,0.0,5,1,2,3,0,0,2,0,0,0,5,2,0,5,0,0,2,0,16,233,2,3,9,5,2,78,18,66,11,79,4,1,0,13,143,1,0
