file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/ollie/assignment1/251-Assignment1-2026-Shuairan-Trisha/./src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main$Anonymous1,"print/3[java.awt.Graphics,java.awt.print.PageFormat,int]",false,218,0,0,0,0,2,4,9,2,1,3,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5,1,0,false
/Users/ollie/assignment1/251-Assignment1-2026-Shuairan-Trisha/./src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,highlightAllMatches/1[java.lang.String],false,303,0,1,1,0,4,8,21,0,5,1,8,0,0,1,2,1,1,2,4,7,2,2,0,0,0,17,2,0,false
/Users/ollie/assignment1/251-Assignment1-2026-Shuairan-Trisha/./src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,true,31,5,4,1,3,15,57,192,0,63,0,57,2,2,2,6,4,1,74,10,54,9,4,1,0,13,122,1,0,false
/Users/ollie/assignment1/251-Assignment1-2026-Shuairan-Trisha/./src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,searchText/0,false,296,1,2,1,1,3,3,5,1,1,0,3,1,1,0,1,0,0,2,0,1,0,1,0,0,0,7,2,0,false
/Users/ollie/assignment1/251-Assignment1-2026-Shuairan-Trisha/./src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,main/1[java.lang.String[]],false,330,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/Users/ollie/assignment1/251-Assignment1-2026-Shuairan-Trisha/./src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,scaledIcon/1[java.lang.String],false,290,0,1,1,0,1,2,5,1,2,1,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,2,0,false
